Id,MSZoning,LotArea,LotShape,OverallCond,YearBuilt,RoofStyle,Foundation,TotalBsmtSF,Heating,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageArea,GarageCond,YrSold,SalePrice
154,RL,13500,Reg,7,1960,Flat,CBlock,1602,GasA,SBrkr,1252,TA,4,Attchd,1960,564,TA,2008,235000
155,RM,11340,Reg,5,1923,Gable,BrkTil,1200,GasA,FuseA,1200,TA,7,Detchd,1923,312,Fa,2006,125000
156,RL,9600,Reg,5,1924,Gable,BrkTil,572,Grav,FuseF,1096,TA,5,NA,NA,0,NA,2008,79000
157,RL,7200,Reg,7,1950,Hip,CBlock,0,GasA,FuseF,1040,TA,5,Detchd,1950,625,TA,2006,109500
158,RL,12003,Reg,5,2009,Gable,PConc,774,GasA,SBrkr,1968,Ex,8,BuiltIn,2009,680,TA,2010,269500
159,FV,12552,Reg,5,2004,Gable,PConc,991,GasA,SBrkr,1947,Gd,8,Attchd,2004,678,TA,2010,254900
160,RL,19378,IR1,5,2005,Gable,PConc,1392,GasA,SBrkr,2462,Gd,9,Attchd,2006,576,TA,2006,320000
161,RL,11120,IR1,6,1984,Gable,PConc,1232,GasA,SBrkr,1232,TA,6,Attchd,1984,516,TA,2008,162500
162,RL,13688,IR1,5,2003,Gable,PConc,1572,GasA,SBrkr,2668,Ex,10,BuiltIn,2003,726,TA,2008,412500
163,RL,12182,Reg,5,2005,Gable,PConc,1541,GasA,SBrkr,1541,Gd,7,Attchd,2005,532,TA,2010,220000
164,RL,5500,Reg,6,1956,Gable,CBlock,882,GasA,SBrkr,882,TA,4,NA,NA,0,NA,2007,103200
165,RM,5400,Reg,7,1926,Gable,BrkTil,1149,GasA,FuseA,1616,Gd,5,Detchd,1926,216,TA,2007,152000
166,RL,10106,Reg,7,1940,Gable,BrkTil,644,GasA,SBrkr,1355,TA,6,NA,NA,0,NA,2008,127500
167,RL,10708,IR1,5,1955,Hip,CBlock,1617,GasA,FuseA,1867,TA,7,Attchd,1955,303,TA,2009,190000
168,RL,10562,Reg,5,2007,Gable,PConc,1582,GasA,SBrkr,2161,Ex,8,Attchd,2007,789,TA,2007,325624
169,RL,8244,IR1,5,2004,Gable,PConc,840,GasA,SBrkr,1720,Gd,7,Attchd,2004,440,TA,2007,183500
170,RL,16669,IR1,6,1981,Hip,CBlock,1686,GasA,SBrkr,1707,TA,6,Attchd,1981,511,TA,2006,228000
171,RM,12358,IR1,6,1941,Gable,CBlock,720,GasA,SBrkr,1382,TA,7,Detchd,1991,660,TA,2007,128500
172,RL,31770,IR1,5,1960,Hip,CBlock,1080,GasA,SBrkr,1656,TA,7,Attchd,1960,528,TA,2010,215000
173,RL,5306,IR1,7,1987,Gable,PConc,1064,GasA,SBrkr,1767,Gd,5,Attchd,1987,504,TA,2006,239000
174,RL,10197,IR1,5,1961,Gable,CBlock,1362,GasA,SBrkr,1362,TA,6,Attchd,1961,504,TA,2008,163000
175,RL,12416,IR1,5,1986,Gable,CBlock,1606,GasA,SBrkr,1651,TA,7,Attchd,1986,616,TA,2008,184000
176,RL,12615,Reg,7,1950,Gable,CBlock,1202,GasA,SBrkr,2158,Gd,7,Attchd,1950,576,TA,2007,243000
177,RL,10029,IR1,5,1988,Gable,PConc,1151,GasA,SBrkr,2060,TA,8,Attchd,1988,521,TA,2007,211000
178,RL,13650,Reg,5,1958,Gable,CBlock,1052,GasA,SBrkr,1920,Gd,8,Attchd,1958,451,TA,2006,172500
179,RL,17423,IR1,5,2008,Hip,PConc,2216,GasA,SBrkr,2234,Ex,9,Attchd,2009,1166,TA,2009,501837
180,RM,8520,Reg,6,1923,Gable,CBlock,968,GasA,SBrkr,968,TA,5,Detchd,1935,480,TA,2007,100000
181,FV,2117,Reg,5,2000,Gable,PConc,756,GasA,SBrkr,1525,Gd,5,Detchd,2000,440,TA,2007,177000
182,RL,7588,Reg,6,1920,Gable,BrkTil,793,GasA,SBrkr,1802,TA,9,Detchd,1920,216,TA,2006,200100
183,RL,9060,Reg,6,1957,Hip,PConc,0,GasA,SBrkr,1340,TA,7,Attchd,1957,252,TA,2007,120000
184,RM,11426,Reg,5,2003,Gable,PConc,1362,GasA,SBrkr,2082,Gd,6,Detchd,2003,484,TA,2008,200000
185,RL,7438,IR1,8,1908,Gable,PConc,504,GasA,SBrkr,1252,TA,5,Attchd,1986,576,TA,2006,127000
186,RM,22950,IR2,9,1892,Gable,BrkTil,1107,GasA,SBrkr,3608,Ex,12,Detchd,1993,840,TA,2006,475000
187,RL,9947,IR1,5,1990,Gable,PConc,1188,GasA,SBrkr,1217,Gd,6,Attchd,1990,497,TA,2009,173000
188,RL,10410,Reg,7,1916,Gable,CBlock,660,GasA,SBrkr,1656,TA,8,Detchd,1916,180,Fa,2009,135000
189,RL,7018,Reg,5,1979,Gable,CBlock,1086,GasA,SBrkr,1224,TA,6,Detchd,1979,528,TA,2009,153337
190,RL,4923,Reg,5,2001,Gable,PConc,1593,GasA,SBrkr,1593,Ex,5,Attchd,2001,682,TA,2008,286000
191,RL,10570,Reg,8,1932,Hip,CBlock,853,GasA,SBrkr,2727,Gd,10,Detchd,1932,440,TA,2007,315000
192,RL,7472,IR1,9,1972,Gable,CBlock,725,GasA,SBrkr,1479,Gd,7,Attchd,1972,484,TA,2007,184000
193,RL,9017,IR1,5,1999,Gable,PConc,1431,GasA,SBrkr,1431,Gd,6,Attchd,1999,666,TA,2009,192000
194,RM,2522,Reg,5,2004,Gable,PConc,970,GasA,SBrkr,1709,Gd,7,Detchd,2004,380,TA,2006,130000
195,RL,7180,IR1,7,1972,Hip,CBlock,864,GasA,SBrkr,864,TA,5,Detchd,1989,352,TA,2008,127000
196,RL,2280,Reg,6,1976,Gable,CBlock,855,GasA,SBrkr,1456,TA,7,Attchd,1976,440,TA,2009,148500
197,RL,9416,Reg,5,2007,Hip,PConc,1726,GasA,SBrkr,1726,Ex,8,Attchd,2007,786,TA,2007,311872
198,RL,25419,Reg,4,1918,Gable,PConc,1360,GasA,SBrkr,3112,Gd,8,Detchd,1918,795,TA,2006,235000
199,RM,5520,Reg,6,1912,Gable,CBlock,755,GasA,SBrkr,2229,TA,8,NA,NA,0,NA,2009,104000
200,RL,9591,Reg,5,2004,Hip,PConc,1713,GasA,SBrkr,1713,Ex,7,Attchd,2004,856,TA,2009,274900
201,RM,8546,Reg,5,2003,Gable,PConc,1121,GasA,SBrkr,1121,TA,5,Attchd,2003,440,TA,2010,140000
202,RL,10125,Reg,6,1977,Gable,CBlock,1196,GasA,SBrkr,1279,TA,6,Detchd,1980,473,TA,2008,171500
203,RL,7000,Reg,6,1924,Gable,BrkTil,617,GasA,SBrkr,1310,TA,6,Attchd,1924,398,TA,2006,112000
204,RM,4438,Reg,5,2004,Gable,PConc,848,GasA,SBrkr,848,Gd,3,Attchd,2004,420,TA,2008,149000
205,RM,3500,Reg,7,1947,Gable,CBlock,720,GasA,SBrkr,1284,TA,5,Detchd,1948,240,TA,2009,110000
206,RL,11851,Reg,5,1990,Gable,PConc,1424,GasA,SBrkr,1442,TA,5,Attchd,1990,500,TA,2009,180500
207,RL,13673,IR1,5,1962,Gable,CBlock,1140,GasA,SBrkr,1696,TA,8,Attchd,1962,349,TA,2007,143900
208,RL,12493,IR1,5,1960,Gable,PConc,1100,GasA,SBrkr,1100,TA,6,Attchd,1960,312,TA,2008,141000
209,RL,14364,IR1,5,1988,Gable,CBlock,1157,GasA,SBrkr,2062,TA,7,Attchd,1988,454,TA,2007,277000
